0.1 0.09989577 0.09998578 0.1001303 0.09994479
0.09997406 0.09987933 0.09987112 0.09967523 0.0996209
0.09962786 0.09961091 0.0996121 0.09964204 0.09949427
0.0995259 0.09966891 0.09972394 0.09975412 0.09978306
0.09988736 0.099877 0.09989375 0.09980686 0.09976823
0.09967875 0.09970861 0.0995768 0.09941318 0.09953152
0.0994887 0.09948628 0.09967453 0.099691 0.09980958
0.09995455 0.1000045 0.09995282 0.09980665 0.09955887
0.09984123 0.09988711 0.1000471 0.1000032 0.1000397
0.09997747 0.09993736 0.09985609 0.1000774 0.1000821
0.1001005 0.1000624 0.09993239 0.09998047 0.1000571
0.1000006 0.1000457 0.09992396 0.1000281 0.09998702
0.09992354 0.1000377 0.09988285 0.09982785 0.09975536
0.09983142 0.09975039 0.09984929 0.09979678 0.09980456
0.09971435 0.09965795 0.0995257 0.09952925 0.09947929
0.09942756 0.09936537 0.09946492 0.09954142 0.09948582
0.09943569 0.09929319 0.09912828 0.09907831 0.09902532
0.09904391 0.09905653 0.09908514 0.09909936 0.09924398
0.09920903 0.09936582 0.0993614 0.09945742 0.09936966
0.09946043 0.0995068 0.09944225 0.0994166 0.09947037
0.09938889
